Customer_Loyalty_ID,Gender,Geographic_Region,Loyalty_Status,Neigborhood_Cluster-55_Level,Neighborhood_Cluster-7_Level,Television_Region,Affluence_Grade,Age,Loyalty_Card_Tenure,Organics_Purchase_Indicator,Total_Spend
121495,,South East,Silver,14,B,London,5,45,11,0,600
124710,F,South East,Silver,1,A,London,11,66,5,0,2000
126098,U,North,Gold,24,C,Yorkshire,2,51,5,0,10000
126586,F,Midlands,Gold,18,C,Midlands,3,,1,0,15000
127892,,North,Silver,12,B,N West,10,60,9,0,1020
129283,M,Midlands,Silver,19,C,East,9,48,2,0,3000
129410,F,South East,Silver,24,C,S & S East,8,53,1,0,100
134872,U,Midlands,Gold,45,E,Midlands,10,72,8,1,12000
140597,F,South East,Tin,41,E,London,9,68,7,0,1
144649,F,Scottish,Tin,1,A,N Scot,8,47,5,0,1
145157,F,South East,Silver,40,E,London,11,39,1,1,2800
146730,F,South East,Tin,4,A,London,12,72,8,0,1
148415,M,South East,Gold,40,E,London,10,67,4,0,6000
148849,F,South East,Tin,25,C,London,9,60,8,0,1
151432,M,North,Gold,30,D,Yorkshire,6,,3,0,9000
154040,M,North,Tin,52,F,N West,11,52,9,0,1
156515,F,Midlands,Tin,27,D,Midlands,7,55,8,0,1
158216,M,South East,Gold,,,S & S East,14,65,6,0,605335
159522,M,South East,Tin,12,B,London,13,41,7,1,1
162485,F,Midlands,Silver,28,D,East,16,34,3,1,3000
165808,F,North,Silver,32,D,N West,6,40,7,1,1500
168394,F,South East,Tin,53,F,London,9,35,4,1,1
170127,M,North,Silver,10,B,Yorkshire,7,50,10,0,5000
181498,,North,Silver,1,A,N West,6,62,29,0,3000
191396,M,North,Tin,51,F,Yorkshire,7,,10,0,1
192791,M,Midlands,Gold,16,C,East,9,60,5,0,8100
197440,F,North,Gold,14,B,N West,8,49,4,0,7600
202878,M,Midlands,Silver,53,F,Midlands,6,57,8,0,2000
203289,U,Midlands,Platinum,51,F,Midlands,7,52,6,0,2305335
206032,M,Scottish,Gold,52,F,C Scotland,6,75,17,0,10000
209732,,Midlands,Gold,37,E,Midlands,15,55,6,0,10000
213241,F,,Gold,51,F,,5,57,1,0,12000
215554,F,North,Silver,22,C,N West,8,52,6,1,2500
217158,F,Midlands,Gold,3,A,East,12,74,5,0,6000
223182,F,South East,Silver,28,D,London,9,79,5,0,5000
234540,,North,Silver,32,D,Yorkshire,6,48,4,0,420
239844,,South East,Tin,41,E,London,11,60,8,0,1
243051,F,North,Silver,53,F,N West,3,38,9,1,50
248258,F,North,Silver,10,B,N West,9,58,5,0,5000
249335,M,Midlands,Silver,30,D,Wales & West,4,52,4,0,1800
252646,F,North,Silver,47,F,Yorkshire,3,45,9,0,10001
253839,F,North,Silver,51,F,N West,9,42,4,0,2000
256366,U,Midlands,Silver,51,F,Midlands,10,40,10,0,50
259802,,Midlands,Gold,35,D,Midlands,5,55,8,0,10100
262684,,Midlands,Gold,23,C,Midlands,8,77,3,0,6000
263419,F,South East,Tin,19,C,London,11,27,7,1,1
267236,F,North,Tin,37,E,N West,4,60,8,0,1
270962,U,South East,Silver,4,A,London,7,58,5,0,2500
271101,,Midlands,Tin,5,B,Midlands,7,54,,0,1
274623,M,North,Tin,32,D,N West,7,42,4,0,1
275700,F,,Silver,48,F,,10,36,9,1,1000
276871,F,South East,Gold,41,E,London,6,,1,1,5500
277010,F,South East,Tin,31,D,London,4,57,5,0,1
278661,F,Midlands,Gold,18,C,Midlands,10,72,8,0,1110532
280895,F,Midlands,Tin,17,C,East,10,,6,1,1
282057,F,North,Tin,51,F,N West,7,37,5,0,1
285846,F,Midlands,Silver,51,F,East,9,76,8,1,2000
287628,F,North,Tin,34,D,N West,6,45,5,0,1
288748,F,South East,Gold,19,C,S & S East,14,,8,0,10000
290890,M,South East,Silver,48,F,London,,51,9,0,2
293083,,South East,Silver,12,B,S & S East,15,61,2,0,500
293555,F,Scottish,Silver,11,B,N Scot,12,61,1,0,4000
295620,M,Midlands,Tin,,,Ulster,9,47,5,0,1
297194,U,Midlands,Tin,50,F,East,8,52,8,0,1
300845,U,Midlands,Silver,38,E,Midlands,8,40,1,0,1000
301175,F,Midlands,Tin,34,D,Midlands,5,56,9,0,1
301981,F,North,Gold,47,F,N West,8,51,8,0,900001
310786,F,South East,Gold,24,C,London,9,50,2,0,12000
312169,,North,Tin,38,E,N West,4,46,5,0,1
312762,F,South East,Silver,8,B,S & S East,8,41,7,1,1675
315559,M,South East,Silver,10,B,London,8,60,8,0,10001
315788,F,South East,Silver,15,B,S & S East,10,70,8,0,2250
316350,F,South East,Tin,28,D,London,9,50,9,1,1
317640,F,Midlands,Tin,49,F,Midlands,15,37,8,1,1
317950,F,South East,Silver,18,C,London,9,74,5,0,3000
318922,,South West,Silver,37,E,S West,8,61,6,1,1200
323039,,North,Silver,4,A,N West,8,49,3,0,4000
324469,F,South East,Tin,34,D,S & S East,7,,8,0,1
331341,M,Scottish,Gold,11,B,C Scotland,9,53,4,0,6000
332658,F,Midlands,Tin,34,D,Midlands,4,,5,0,1
335606,U,Scottish,Silver,45,E,Border,,59,7,0,2500
340146,,North,Tin,12,B,N West,7,63,5,0,1
342033,F,North,Silver,32,D,N West,7,51,10,0,302667
343102,F,North,Platinum,27,D,N West,5,62,7,0,5605335
345474,F,South East,Silver,23,C,S & S East,3,46,10,0,1
345865,M,North,Gold,38,E,Yorkshire,10,39,2,1,7500
346225,M,South East,Silver,36,E,S & S East,6,53,6,1,3000
346403,,Midlands,Tin,27,D,Midlands,10,,5,0,1
347086,F,South East,Silver,21,C,London,7,48,4,0,5000
347531,F,South East,Gold,12,B,S & S East,7,62,11,0,1280895
349291,M,South East,Silver,12,B,London,9,26,1,0,4000
349739,F,North,Silver,41,E,N East,7,,5,0,2500
351482,F,South West,Gold,41,E,S West,6,43,2,0,6000
356425,F,Midlands,Gold,41,E,Midlands,7,78,5,0,6000
356719,F,Midlands,Gold,19,C,East,3,67,3,0,1204925
357898,F,North,Tin,27,D,N West,2,45,5,0,1
358649,,Scottish,Tin,32,D,C Scotland,10,60,5,0,1
359955,F,South East,Gold,44,E,London,13,68,6,0,7500
361283,U,South East,Platinum,4,A,S & S East,14,74,3,0,2024589
362468,M,Midlands,Tin,35,D,Midlands,5,53,8,0,1
369225,M,Scottish,Silver,23,C,C Scotland,5,51,8,0,420
369780,F,South East,Platinum,4,A,S & S East,9,,1,0,25000
370398,F,South East,Silver,52,F,S & S East,6,51,1,0,200
370622,U,South East,Silver,4,A,S & S East,5,51,2,0,200
371475,M,South East,Tin,21,C,London,11,36,4,0,1
374644,F,Midlands,Gold,49,F,Wales & West,8,63,2,0,6000
375330,F,South East,Silver,16,C,S & S East,8,69,9,0,500
376078,F,Midlands,Tin,32,D,Midlands,11,40,5,1,1
380113,F,Midlands,Silver,45,E,Wales & West,4,46,11,0,216575
393347,M,South East,Tin,34,D,S & S East,,46,8,0,1
396192,F,South East,Silver,4,A,S & S East,8,46,11,1,2245
397407,F,North,Tin,35,D,N West,9,38,5,1,1
397660,M,North,Gold,52,F,N West,4,67,5,0,11000
400297,U,North,Platinum,53,F,Yorkshire,11,73,4,0,26000
403768,F,Scottish,Gold,11,B,Border,5,53,8,0,9000
407364,F,Midlands,Silver,37,E,Midlands,6,55,4,1,5000
408964,F,South East,Silver,4,A,London,9,54,8,0,3000
414832,M,South East,Tin,52,F,London,6,45,5,0,1
418943,M,,Tin,25,C,,10,39,4,1,1
421979,F,North,Silver,38,E,N West,5,58,4,0,420
423211,F,North,Tin,35,D,N East,8,33,5,1,1
434671,M,South East,Tin,27,D,London,11,35,8,1,1
435961,M,North,Gold,4,A,Yorkshire,4,71,12,0,6000
439088,M,Scottish,Tin,15,B,Border,10,55,4,0,1
442542,M,South West,Silver,27,D,S West,,57,11,0,480
454702,M,South East,Gold,5,B,London,13,53,5,0,687112
462705,F,South East,Silver,44,E,London,9,58,19,0,1500
467812,M,North,Tin,20,C,Yorkshire,13,43,5,0,1
473596,F,South East,Tin,32,D,London,8,47,5,0,1
479403,M,South East,Gold,18,C,S & S East,4,74,2,0,6000
481572,M,North,Silver,38,E,N East,10,49,1,0,5000
486701,F,South East,Silver,27,D,S & S East,9,58,9,0,3000
492566,F,Midlands,Tin,27,D,Midlands,8,56,8,0,1
498300,F,South East,Gold,14,B,S & S East,5,47,1,0,6000
500100,F,Midlands,Silver,52,F,Midlands,14,30,1,1,100
502316,F,South East,Platinum,30,D,S & S East,3,68,4,1,50000
503053,F,North,Silver,35,D,N West,8,45,4,0,1000
518069,F,South East,Gold,4,A,London,7,71,6,0,12000
523259,F,South East,Gold,28,D,S & S East,10,65,8,0,905335
528102,F,South East,Gold,24,C,London,10,74,5,0,19000
530042,F,North,Tin,32,D,N West,10,43,5,1,1
532479,F,South West,Silver,42,E,S West,11,44,9,0,500
543004,U,South East,Silver,48,F,London,9,65,5,0,3000
543683,M,South East,Gold,28,D,S & S East,7,46,12,0,1740976
553115,F,Midlands,Silver,52,F,Midlands,8,29,12,0,2000
580287,F,Midlands,Tin,20,C,Wales & West,7,53,5,1,1
588784,M,Midlands,Silver,37,E,Midlands,9,64,12,0,1000
595233,M,South East,Silver,30,D,S & S East,10,49,5,1,3000
598453,F,South East,Gold,51,F,London,17,59,8,1,12000
600504,F,North,Tin,52,F,N West,8,37,5,0,1
601969,,South East,Gold,14,B,London,5,60,2,0,10000
602906,,North,Tin,52,F,Yorkshire,10,64,4,0,1
604011,F,North,Silver,16,C,N West,3,,4,0,5000
606316,F,South East,Silver,26,C,London,15,51,8,1,3000
607118,F,Midlands,Tin,,,Midlands,8,47,5,0,1
607444,F,Midlands,Silver,11,B,Wales & West,18,51,3,0,3000
608378,F,Scottish,Silver,34,D,C Scotland,5,58,11,0,3050
610283,M,South East,Tin,1,A,London,9,46,9,0,1
611662,U,South East,Tin,31,D,London,5,48,5,0,1
618284,F,Midlands,Silver,41,E,East,15,,,1,2
621358,F,Midlands,Gold,19,C,Midlands,4,61,1,0,6000
630888,F,Midlands,Tin,17,C,Midlands,9,38,5,1,1
633380,M,South East,Gold,41,E,S & S East,7,68,6,0,1500001
633542,F,Midlands,Gold,53,F,Wales & West,12,76,2,0,6000
641022,F,North,Tin,32,D,Yorkshire,4,56,8,0,1
642568,M,North,Silver,2,A,N East,8,73,1,1,360
649007,F,Midlands,Tin,33,D,Midlands,8,37,9,1,1
653500,F,Midlands,Silver,25,C,Midlands,,32,1,1,2500
663603,F,South East,Silver,1,A,London,11,74,4,0,3350
666238,M,North,Gold,30,D,Yorkshire,9,65,,0,610764
667692,F,Midlands,Silver,37,E,Midlands,5,60,2,0,5000
669067,F,Scottish,Silver,30,D,C Scotland,10,35,4,0,1500
672785,F,Scottish,Gold,23,C,N Scot,6,46,1,0,654499
674885,F,South East,Gold,37,E,London,3,46,5,0,6000
682144,F,South East,Platinum,41,E,London,5,70,0,0,2168494
691178,M,Midlands,Gold,,,Ulster,9,37,11,1,10000
693847,U,South East,Gold,8,B,S & S East,4,46,3,0,6000
708569,U,Scottish,Silver,43,E,C Scotland,3,68,18,0,4000
711616,U,Midlands,Platinum,8,B,Midlands,10,,4,0,50000
714054,U,Midlands,Silver,32,D,Wales & West,11,,5,0,5000
723185,F,South East,Silver,37,E,London,12,49,3,0,3000
734446,F,Midlands,Silver,38,E,Midlands,4,63,7,0,302667
741779,U,Midlands,Silver,8,B,Midlands,4,62,5,0,5000
742880,F,South East,Gold,37,E,S & S East,5,,7,1,10000
745421,,Midlands,Silver,34,D,East,5,62,8,0,2
749044,U,North,Gold,22,C,N East,5,74,1,0,6000
750840,F,South East,Tin,,,S & S East,5,52,5,0,1
755931,F,North,Tin,10,B,N West,,42,4,0,1
760641,,Midlands,Gold,28,D,Midlands,8,74,17,1,6000
764876,F,South East,Tin,32,D,S & S East,7,43,5,0,1
770264,F,South East,Gold,25,C,London,8,64,2,0,12000
775258,F,North,Silver,44,E,N West,12,31,9,0,1100
778176,F,North,Silver,27,D,N East,11,41,5,0,1000
779199,F,Midlands,Tin,51,F,Wales & West,9,45,8,0,1
794872,,South East,Gold,25,C,London,8,67,2,0,1000001
795267,F,South East,Silver,1,A,London,17,,13,1,1000
796026,F,South East,Tin,21,C,London,9,40,5,0,1
802069,F,South East,Gold,5,B,S & S East,7,70,2,0,12000
804061,F,South East,Silver,16,C,S & S East,20,,1,1,480
806994,,Midlands,Tin,52,F,Midlands,6,56,5,0,1
807877,F,South East,Gold,13,B,London,,,1,0,805335
811831,,North,Tin,52,F,Yorkshire,15,32,5,1,1
819301,M,Midlands,Silver,,,Ulster,10,51,6,0,1000
823066,,South East,Silver,10,B,London,8,65,7,0,50
823961,F,Midlands,Gold,51,F,Wales & West,8,52,2,0,6000
826758,F,Scottish,Gold,25,C,C Scotland,8,,2,1,6000
827614,F,South East,Tin,38,E,S & S East,6,38,9,1,1
830380,F,South East,Silver,32,D,London,8,43,10,0,50
835404,M,North,Tin,44,E,N West,7,37,5,0,1
836222,M,Scottish,Tin,22,C,N Scot,7,42,5,0,1
841013,U,Midlands,Gold,2,A,Midlands,4,22,3,0,6000
842486,U,Midlands,Tin,44,E,East,8,31,8,0,1
848085,F,North,Silver,6,B,N West,15,33,7,1,2
851396,M,South East,Silver,51,F,London,9,,7,0,600
853291,,Midlands,Silver,49,F,Midlands,8,31,1,0,5000
856916,M,Scottish,Gold,34,D,C Scotland,8,54,8,0,12000
861820,F,South East,Silver,18,C,S & S East,5,54,2,0,1000
870307,M,North,Gold,10,B,Yorkshire,9,53,3,0,6000
871095,F,North,Tin,53,F,Yorkshire,16,37,5,1,1
875694,,South West,Gold,28,D,S West,8,63,2,0,6000
876623,M,North,Tin,,,N West,3,33,5,0,1
878812,F,South East,Tin,12,B,London,7,65,8,0,1
889199,F,Midlands,Silver,38,E,Midlands,14,39,10,1,50
897485,F,Scottish,Gold,47,F,C Scotland,9,42,2,1,6000
899186,M,North,Silver,37,E,Yorkshire,6,67,8,0,3000
903191,F,Midlands,Tin,52,F,Midlands,11,43,5,1,1
908584,M,North,Gold,23,C,N West,9,,6,0,6000
909459,F,South East,Silver,19,C,S & S East,8,50,9,0,2
910007,,Midlands,Gold,8,B,Midlands,5,70,5,0,12000
918237,F,Midlands,Tin,28,D,Midlands,13,58,8,0,1
919551,F,,Tin,,,,13,50,5,1,1
922366,F,Midlands,Silver,,,Ulster,7,78,5,0,1250
929506,M,Midlands,Gold,12,B,East,5,79,8,0,6000
935530,F,South East,Silver,1,A,London,8,68,8,1,800
943517,F,South East,Silver,1,A,London,9,48,8,0,600
946311,M,South East,Silver,20,C,London,9,,3,0,3000
950033,M,South West,Silver,51,F,S West,12,35,5,0,1500
951897,F,Midlands,Tin,34,D,East,9,38,4,1,1
952729,M,North,Gold,17,C,N West,11,42,5,0,604113
956155,M,North,Silver,17,C,N West,14,50,4,0,42001
956635,M,North,Tin,22,C,N West,4,63,5,1,1
963194,F,South East,Gold,20,C,London,9,75,1,0,6000
966932,F,South East,Silver,29,D,London,8,50,8,0,50
985295,F,South East,Tin,34,D,London,2,58,8,0,1
994332,F,Midlands,Silver,,,Ulster,8,66,8,0,500
997684,F,South East,Silver,48,F,London,6,54,11,0,50
1002422,F,North,Tin,35,D,N West,7,54,5,0,1
1003402,F,South East,Tin,53,F,London,18,38,6,1,1
1004301,M,Midlands,Gold,53,F,East,6,,2,0,6000
1008129,M,South East,Silver,24,C,London,8,55,5,0,1000
1009060,M,Scottish,Tin,38,E,C Scotland,8,52,4,0,1
1009931,F,Midlands,Silver,32,D,Midlands,11,59,2,0,1500
1011243,M,South West,Silver,49,F,S West,6,63,2,1,1000
1011669,M,North,Tin,38,E,N West,15,47,6,0,1
1012509,F,South East,Tin,51,F,London,6,44,8,0,1
1013394,F,South East,Tin,4,A,London,7,39,7,0,1
1018361,U,Midlands,Gold,4,A,Midlands,5,72,2,0,6000
1022334,M,Midlands,Tin,47,F,Wales & West,8,38,5,0,1
1024248,F,South East,Tin,30,D,S & S East,13,72,8,0,1
1029592,M,South East,Tin,27,D,London,11,,4,1,1
1030302,,Scottish,Silver,49,F,Border,6,76,8,0,3000
1036084,,North,Silver,32,D,N East,11,50,8,0,3000
1040227,F,Midlands,Gold,19,C,Wales & West,7,66,8,0,9000
1040944,,South East,Tin,38,E,London,6,51,5,0,1
1041231,,Midlands,Gold,19,C,Midlands,7,61,,0,610764
1043773,,Midlands,Tin,25,C,Midlands,3,63,8,0,1
1054015,F,South East,Gold,51,F,London,6,78,5,0,7500
1055682,M,Midlands,Gold,15,B,East,9,55,2,0,567231
1060228,M,Midlands,Gold,53,F,Midlands,7,49,3,0,10000
1061348,,South East,Silver,5,B,London,13,70,8,0,288496
1068601,F,Midlands,Tin,32,D,Midlands,6,45,4,0,1
1070037,F,Scottish,Silver,52,F,C Scotland,5,73,32,0,600
1070460,F,South East,Platinum,4,A,London,8,71,4,1,23425
1072773,F,South East,Gold,27,D,London,14,52,5,0,701755
1080016,F,Midlands,Tin,34,D,East,11,52,,0,1
1083767,F,,Silver,52,F,,9,64,1,0,3000
1084607,F,Midlands,Gold,16,C,Midlands,9,57,7,0,905266
1087452,F,Midlands,Silver,44,E,Midlands,6,,27,0,2000
1091085,M,North,Gold,27,D,N West,10,63,4,0,605334
1094955,F,Midlands,Tin,41,E,Midlands,,32,4,1,1
1097474,M,North,Tin,24,C,N West,20,39,8,1,1
1098918,F,Midlands,Tin,22,C,Midlands,7,35,4,1,1
1101579,F,Midlands,Silver,48,F,Wales & West,8,58,9,0,1930
1103288,F,Midlands,Tin,23,C,Midlands,10,40,4,1,1
1104136,M,South East,Silver,25,C,S & S East,13,,5,1,980
1108646,F,South East,Gold,3,A,London,9,61,11,0,12150
1111434,F,North,Silver,25,C,N West,13,70,11,0,500
1115014,F,Midlands,Gold,31,D,Midlands,12,,11,0,9000
1117629,F,Midlands,Tin,35,D,Midlands,7,,8,0,1
1128353,F,North,Silver,52,F,N West,5,70,5,0,3500
1131451,F,Midlands,Gold,3,A,Wales & West,6,60,4,0,10000
1134051,F,South East,Silver,6,B,S & S East,14,77,11,0,488425
1135724,F,South East,Silver,42,E,S & S East,10,74,12,0,4500
1136585,F,Midlands,Silver,33,D,Wales & West,7,67,5,0,3000
1137492,M,Midlands,Gold,27,D,Midlands,7,51,11,1,17000
1138235,F,Midlands,Silver,25,C,Midlands,18,37,8,1,5001
1143662,,North,Gold,52,F,N West,8,35,5,0,504446
1150820,F,Scottish,Gold,20,C,N Scot,5,58,22,0,6000
1151037,F,South East,Silver,30,D,S & S East,6,27,7,0,5
1154958,U,South East,Platinum,12,B,London,5,72,12,0,32050
1156179,F,South East,Gold,31,D,London,9,70,8,0,6000
1162020,F,Midlands,Tin,51,F,Wales & West,7,,2,0,1
1164910,M,North,Tin,38,E,N West,7,51,10,0,1
1176846,F,,Silver,52,F,,9,31,1,1,106445
1178520,F,Midlands,Silver,51,F,Wales & West,10,58,8,0,300001
1179462,F,Midlands,Tin,38,E,Wales & West,10,73,6,0,1
1184199,F,South East,Silver,51,F,London,7,38,4,0,4500
1186671,F,South East,Silver,1,A,London,7,71,3,1,2000
1190369,M,South East,Silver,22,C,London,22,50,6,1,3000
1191357,U,Midlands,Silver,,,Wales & West,9,,4,0,2000
1192051,F,Midlands,Silver,22,C,Midlands,6,51,27,0,3500
1195654,F,Midlands,Tin,35,D,Wales & West,10,33,8,0,1
1196413,U,Midlands,Silver,1,A,Midlands,6,67,4,0,5000
1201212,M,South East,Silver,15,B,S & S East,,78,8,0,3000
1214039,F,South East,Gold,2,A,London,8,64,4,1,20000
1214934,F,South East,Silver,52,F,London,9,50,4,0,5000
1219553,U,North,Gold,37,E,N West,8,76,15,0,6000
1220462,F,South East,Gold,50,F,London,5,41,3,0,6000
1225006,M,Scottish,Tin,31,D,C Scotland,12,50,7,1,1
1227807,F,South West,Gold,2,A,S West,13,54,30,0,1207835
1237713,F,South East,Silver,14,B,S & S East,13,45,8,0,3000
1238604,F,South East,Silver,10,B,London,,72,13,0,5001
1245880,,North,Tin,53,F,N West,7,41,9,0,1
1246933,M,South East,Silver,13,B,S & S East,10,59,2,0,780
1250647,,Midlands,Silver,23,C,Midlands,9,68,5,1,4000
1260758,M,Scottish,Silver,35,D,C Scotland,9,66,9,0,2000
1263749,M,North,Tin,6,B,Yorkshire,5,52,11,0,1
1265857,M,Midlands,Gold,,,Ulster,8,73,6,0,6000
1275305,U,North,Silver,50,F,N West,6,45,9,0,300
1276417,F,South East,Tin,30,D,S & S East,9,48,5,1,1
1277200,F,South East,Tin,6,B,S & S East,6,60,5,0,1
1285750,F,South East,Tin,12,B,London,,57,8,0,1
1287850,F,Midlands,Gold,23,C,East,11,56,7,0,610532
1288741,F,Midlands,Tin,44,E,Midlands,26,31,4,1,1
1289772,F,South West,Tin,30,D,S West,,,4,1,1
1303252,M,South East,Tin,26,C,London,9,55,11,0,1
1311360,M,Midlands,Silver,17,C,Midlands,8,61,6,0,3250
1312375,F,South East,Gold,27,D,London,,41,5,0,10000
1314483,M,South East,Silver,2,A,London,9,68,4,0,4250
1317113,F,South East,Tin,21,C,London,14,47,8,0,1
1318845,F,Midlands,Silver,24,C,Wales & West,3,70,11,0,3000
1322516,M,South East,Silver,7,B,London,10,40,13,0,1000
1329022,M,Midlands,Tin,47,F,Midlands,10,57,4,0,1
1330489,F,Scottish,Silver,12,B,C Scotland,11,54,9,0,360
1334131,F,Midlands,Silver,8,B,Midlands,2,,5,0,31789
1338498,F,South East,Gold,13,B,London,9,44,5,0,605335
1339389,M,North,Silver,35,D,Yorkshire,6,57,8,0,2
1343181,,Midlands,Silver,19,C,Midlands,5,,8,0,5002
1347810,,Scottish,Gold,35,D,N Scot,9,60,14,0,8000
1348957,F,Scottish,Tin,52,F,N Scot,13,45,4,1,1
1349643,F,South East,Tin,37,E,London,9,40,6,1,1
1352482,F,North,Silver,12,B,N West,9,22,3,1,1000
1353292,M,South East,Silver,4,A,London,10,73,27,0,5000
1364707,U,South East,Tin,20,C,S & S East,10,44,5,0,1
1366874,M,South East,Silver,12,B,London,,65,5,0,152691
1372475,M,Midlands,Tin,8,B,Wales & West,5,50,4,0,1
1379240,F,South East,Silver,46,F,S & S East,8,76,3,1,1000
1390333,M,South East,Tin,4,A,London,,61,5,0,1
1402684,F,South East,Tin,41,E,London,7,52,9,0,1
1403478,F,Midlands,Gold,33,D,Midlands,9,48,2,0,6000
1404458,M,Midlands,Tin,28,D,Midlands,9,47,4,0,1
1407228,F,,Silver,15,B,,7,57,1,0,2000
1408038,F,North,Silver,35,D,N West,10,61,3,1,3000
1421123,M,South West,Silver,45,E,S West,8,55,8,0,4000
1422944,U,Scottish,Tin,47,F,C Scotland,10,52,5,0,1
1425951,F,Midlands,Tin,52,F,Wales & West,,68,9,0,1
1438069,F,North,Gold,23,C,Yorkshire,5,76,3,1,6000
1439030,M,Scottish,Silver,3,A,C Scotland,11,47,11,0,1200
1455486,,Midlands,Gold,38,E,Wales & West,9,66,2,0,6000
